date,cash,holdings_value,total_equity,kospi_close
2026-08-14,40291640.0,59708360.0,100000000.0,6813.34
2026-08-17,25385822.526550293,74634497.4734497,100020320.0,6977.94
2026-08-18,38355422.52655029,59544693.6156482,97900116.14219847,6869.83
2026-08-19,11178533.048620606,84656183.5536206,95834716.60224122,6471.17
2026-08-20,18146644.355375417,78160415.3927618,96307059.7481372,6852.58
2026-08-21,61124605.39055608,33652913.86126751,94777519.2518236,6912.95
2026-08-24,52376755.46274233,41058698.96035157,93435454.42309389,6696.96
2026-08-25,38411755.46274233,55529311.93699952,93941067.39974184,6742.74
2026-08-26,38411755.46274233,56247091.25899658,94658846.7217389,6808.21
2026-08-28,4775635.462742329,90224668.0116333,95000303.47437564,6912.37
2026-08-29,4775635.462742329,90673435.57194825,95449071.03469057,6788.88
