date,code,name,action,quantity,price,amount,reason
2026-08-14,332570,PS일렉트로닉스,buy,1344.0,11160.0,14999040.0,"예측 5일 수익률 +10.5%, 방향적중률 73%, RSI 67 — 매수 조건 충족"
2026-08-14,011070,LG이노텍,buy,24.0,615000.0,14760000.0,"예측 5일 수익률 +7.8%, 방향적중률 70%, RSI 49 — 매수 조건 충족"
2026-08-14,475150,SK이터닉스,buy,262.0,57100.0,14960200.0,"예측 5일 수익률 +7.4%, 방향적중률 55%, RSI 55 — 매수 조건 충족"
2026-08-14,006340,대원전선,buy,992.0,15110.0,14989120.0,"예측 5일 수익률 +3.4%, 방향적중률 68%, RSI 54 — 매수 조건 충족"
2026-08-17,INTC,Intel Corporation Common Stock,buy,103.0,144716.67449951172,14905817.473449709,"예측 5일 수익률 +4.0%, 방향적중률 55%, RSI 51 — 매수 조건 충족"
2026-08-18,332570,PS일렉트로닉스,sell,1344.0,9650.0,12969600.0,평단가 대비 -13.5% — 손절 기준(-8%) 도달로 매도
2026-08-19,MRVL,Marvell Technology Inc. Common Stock,buy,47.0,300119.02734375,14105594.28515625,"예측 5일 수익률 +4.2%, 방향적중률 67%, RSI 50 — 매수 조건 충족"
2026-08-19,MU,Micron Technology Inc. Common Stock,buy,10.0,1307129.5192773438,13071295.192773435,"예측 5일 수익률 +3.2%, 방향적중률 57%, RSI 52 — 매수 조건 충족"
2026-08-20,INTC,Intel Corporation Common Stock,sell,103.0,129430.01328125,13331291.36796875,평단가 대비 -10.6% — 손절 기준(-8%) 도달로 매도
2026-08-20,KRW-DOGE,도지코인,buy,60030.00057749,106.0,6363180.061213939,"예측 5일 수익률 +7.1%, 방향적중률 57%, RSI 61 — 매수 조건 충족"
